n;r;a;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
10;50.00;0;1;10;0.95;76;7600;7600;0.0008195582777261734;239.73967889957322;283.43667584098876;220.871126946472;0
10;50.00;0;2;10;0.95;76;7600;7600;0.0006919782608747482;289.2694650698543;332.7810763530433;254.3826049245135;0
10;50.00;0;3;10;0.95;76;7600;7600;0.0007679834961891174;213.671399633596;248.18980130180717;191.05069964041996;0
10;50.00;1;0;10;0.95;76;7600;7600;0.0007629264146089554;179.63977857365325;281.5950008984655;162.90385146365554;0
10;50.00;1;1;10;0.95;76;7600;7600;0.0016800649464130402;174.68338004841445;298.1859134249389;171.8961404136843;0
10;50.00;1;2;10;0.95;76;7600;8;0.0006866790354251862;595.789848753365;1.1731597669422626;552.5307883846676;292.27033091848745
10;50.00;1;3;10;0.95;76;7600;7600;0.0008309930562973022;388.96883634723577;256.29212812148035;303.8957666291773;0
10;100.00;0;0;10;0.95;76;7600;7600;0.000695960596203804;162.37544262769188;312.78271563351154;155.14992642732156;0
10;100.00;0;1;10;0.95;76;7600;7600;0.0009835492819547653;148.30620281556344;308.3133009169251;139.62351386910547;0
10;100.00;0;2;10;0.95;76;7600;7600;0.0006440933793783188;211.8977541664046;284.1142927724868;203.3736620327797;0
10;100.00;0;3;10;0.95;76;7600;7600;0.0007128678262233734;194.36860465894924;306.394179046154;168.9871291383493;0
10;100.00;1;0;10;0.95;76;7600;7600;0.0006469935178756714;219.86429451552334;348.42184922099113;205.44165577910536;0
10;100.00;1;1;10;0.95;76;7600;7600;0.0007247272878885269;225.92529959529145;393.40133823268116;171.263119765668;0
10;100.00;1;2;10;0.95;76;7600;7600;0.0007318854331970215;163.5301423716679;253.9804574456066;143.82816844179095;0
10;100.00;1;3;10;0.95;76;7600;7600;0.0007173120975494385;162.14077840366053;282.35092137008905;148.3239005525475;0
10;200.00;0;0;10;0.95;76;7600;7600;0.000828353688120842;130.17439815813594;221.56285081245005;125.38236336087793;0
