n;r;a;i;timelimit;time;objective
10;100.00;1;0;3600;3601.4963808399625;205.44165577910536
10;100.00;1;1;3600;3601.7479859571904;171.42153068721075
10;100.00;1;2;3600;3601.754956105724;143.82816844179098
10;100.00;1;3;3600;3601.570325935725;148.32390055254754
10;200.00;0;0;3600;181.09546338766813;125.38236336087793
10;200.00;0;1;3600;4.578900029417127;138.3181533505343
10;200.00;0;2;3600;33.38829824887216;107.74361144359416
10;200.00;0;3;3600;4.421575104817748;100.16459275072165
10;200.00;1;0;3600;18.546973873395473;158.67903847122466
10;200.00;1;1;3600;13.377901059109718;135.62276136300164
10;200.00;1;2;3600;7.003914250060916;108.7182710394936
10;200.00;1;3;3600;3601.961878581904;101.19231994354092
15;25.00;0;0;3600;3604.300652860664;897.5450414814444
15;25.00;0;1;3600;3604.2596622188576;-1.0
15;25.00;0;2;3600;3604.271923650056;790.288692041712
15;25.00;0;3;3600;3604.4431457431056;825.8117072253413
15;25.00;1;0;3600;3605.425521106925;770.2163394796496
15;25.00;1;1;3600;3608.275040446315;898.9459590293375
15;25.00;1;2;3600;3605.6913184248842;-1.0
15;25.00;1;3;3600;3604.2376296203583;572.2212973615998
15;50.00;0;0;3600;3604.969362898264;-1.0
15;50.00;0;1;3600;3605.1085531632416;311.46139384640685
15;50.00;0;2;3600;3605.728141534142;358.2621871004283
15;50.00;0;3;3600;3605.8974079410546;-1.0
15;50.00;1;0;3600;3605.336646908894;325.21795501745976
15;50.00;1;1;3600;3605.7104735742323;492.3182241541704
15;50.00;1;2;3600;3605.4248095811345;-1.0
15;50.00;1;3;3600;3605.469397380948;349.15078912148084
15;100.00;0;0;3600;3605.4915326982737;246.0318877231743
15;100.00;0;1;3600;3606.301744874101;337.5437424913107
15;100.00;0;2;3600;3604.8497089231387;321.5247126918339
15;100.00;0;3;3600;3605.207488011569;289.10125165296347
15;100.00;1;0;3600;3604.319906265009;291.053615217117
15;100.00;1;1;3600;3607.3642219379544;345.5603239439737
15;100.00;1;2;3600;3604.306965475902;230.70663588148648
15;100.00;1;3;3600;3605.76930019306;265.07541679108596
15;200.00;0;0;3600;3605.1936046257615;190.75784341413652
15;200.00;0;1;3600;3605.4919780781493;261.7988195197878
15;200.00;0;2;3600;3605.391004487872;144.70970137911817
15;200.00;0;3;3600;1496.1916648158804;237.71380229983416
15;200.00;1;0;3600;3605.5233789621852;179.8634140133051
15;200.00;1;1;3600;3610.403597705066;198.07557182007065
15;200.00;1;2;3600;3605.028956697788;160.21116840365204
15;200.00;1;3;3600;3605.4831559471786;244.3825928524388
